1,2,3,4
2.563887958933154868e-02,1.560233232898114164e-01,3.164964847673250592e-01,4.684466019417475868e-01
2.351341119726307882e-02,1.514420717600706567e-01,3.091936456303192582e-01,4.610703719802021761e-01
2.368208301970951488e-02,1.494243260572607479e-01,3.104736416603942062e-01,4.587131666248501771e-01
2.380985513700059966e-02,1.558146978194013543e-01,3.163746677613726299e-01,4.720362922864975164e-01
2.083245713644838945e-02,1.428411209712467100e-01,3.030800072899580977e-01,4.575990803437495757e-01
