H,J,Y,zpp,ip,r,V,B,u,blend
2.309564208984375000e+01,2.394248008728027344e+01,2.398540496826171875e+01,2.455518913269042969e+01,2.455948448181152344e+01,2.472448539733886719e+01,2.506782531738281250e+01,2.626854705810546875e+01,2.698773765563964844e+01,1.000000000000000000e+00
2.273989105224609375e+01,2.332690811157226562e+01,2.334341812133789062e+01,2.387165641784667969e+01,2.438856697082519531e+01,2.499786758422851562e+01,2.527007484436035156e+01,2.562828826904296875e+01,2.532946205139160156e+01,1.000000000000000000e+00
2.373076629638671875e+01,2.402015686035156250e+01,2.397336578369140625e+01,2.427489852905273438e+01,2.442341804504394531e+01,2.511784934997558594e+01,2.549715995788574219e+01,2.589239501953125000e+01,2.597180938720703125e+01,1.000000000000000000e+00
2.225334167480468750e+01,2.266173553466796875e+01,2.319010543823242188e+01,2.363389205932617188e+01,2.434912681579589844e+01,2.475444984436035156e+01,2.490930366516113281e+01,2.527709579467773438e+01,2.524492835998535156e+01,1.000000000000000000e+00
2.189114379882812500e+01,2.254427528381347656e+01,2.322852897644042969e+01,2.344743537902832031e+01,2.383709526062011719e+01,2.433639907836914062e+01,2.456044387817382812e+01,2.529259109497070312e+01,2.571924972534179688e+01,1.000000000000000000e+00
2.271164131164550781e+01,2.296224021911621094e+01,2.302146911621093750e+01,2.305597686767578125e+01,2.317740058898925781e+01,2.334546089172363281e+01,2.346287345886230469e+01,2.418060874938964844e+01,2.458466529846191406e+01,1.000000000000000000e+00
2.223195457458496094e+01,2.221790313720703125e+01,2.255550765991210938e+01,2.250280761718750000e+01,2.261253738403320312e+01,2.265155792236328125e+01,2.257417869567871094e+01,2.301470375061035156e+01,2.297488975524902344e+01,1.000000000000000000e+00
2.315228462219238281e+01,2.359241104125976562e+01,2.326884651184082031e+01,2.346904182434082031e+01,2.379982376098632812e+01,2.422802543640136719e+01,2.440161132812500000e+01,2.463375282287597656e+01,2.451541900634765625e+01,1.000000000000000000e+00
2.242645835876464844e+01,2.235401535034179688e+01,2.243554496765136719e+01,2.246242713928222656e+01,2.263752746582031250e+01,2.281388092041015625e+01,2.293734931945800781e+01,2.379501724243164062e+01,2.419394874572753906e+01,1.000000000000000000e+00
2.317226028442382812e+01,2.347440338134765625e+01,2.407223510742187500e+01,2.404472541809082031e+01,2.417683410644531250e+01,2.430602836608886719e+01,2.422092628479003906e+01,2.464544296264648438e+01,2.477202796936035156e+01,1.000000000000000000e+00
1.979150390625000000e+01,2.004853057861328125e+01,2.041642570495605469e+01,2.060216522216796875e+01,2.112541961669921875e+01,2.201447296142578125e+01,2.249650764465332031e+01,2.348398971557617188e+01,2.371371650695800781e+01,1.000000000000000000e+00
2.279684829711914062e+01,2.310511398315429688e+01,2.342792701721191406e+01,2.391663360595703125e+01,2.437819480895996094e+01,2.465581893920898438e+01,2.503236389160156250e+01,2.528596115112304688e+01,2.530079078674316406e+01,1.000000000000000000e+00
2.415341186523437500e+01,2.397279930114746094e+01,2.413339614868164062e+01,2.432076644897460938e+01,2.440713119506835938e+01,2.481386756896972656e+01,2.509870147705078125e+01,2.550105285644531250e+01,2.553509140014648438e+01,1.000000000000000000e+00
