1,2,3,4
6.968888888888888355e-02,3.305777777777778037e-01,5.651555555555555221e-01,7.307555555555556026e-01
6.599165112354560270e-02,3.233857358557598594e-01,5.601740829558575774e-01,7.240429878319566415e-01
6.533202252211993410e-02,3.140584502636518116e-01,5.547412637411743841e-01,7.169541513986951164e-01
6.593014967925872605e-02,3.232359230220955282e-01,5.680684248039914452e-01,7.329828937990021664e-01
5.770948722529926911e-02,3.035554761479363761e-01,5.502054672145791914e-01,7.188672503126675162e-01
